Gender,Age,Interest/Hobby,Gift Recommendation
Male,0,Baby Care,Baby Blanket
Male,0,Baby Care,Baby Care Kit
Male,0,Baby Care,Baby Towel
Male,0,Baby Care,Baby Grooming Set
Male,0,Baby Care,Baby Carrier
Male,0,Baby Care,Diaper Bag
Male,0,Baby Care,Nursery Night Light
Male,0,Fashion,Baby Romper
Male,0,Fashion,Baby Bodysuit
Male,0,Fashion,Baby Cap
Male,0,Fashion,Baby Socks
Male,0,Fashion,Baby Mittens
Male,0,Fashion,Baby Booties
Male,0,Fashion,Infant Bibs
Male,0,Fashion,Fleece Onesie
Male,0,Skin Care,Baby Lotion
Male,0,Skin Care,Baby Shampoo
Male,0,Skin Care,Baby Soap
Male,0,Skin Care,Baby Wipes
Male,0,Skin Care,Baby Oil
Male,0,Skin Care,Baby Powder
Male,0,Skin Care,Diaper Rash Cream
Male,0,Skin Care,Gentle Baby Wash
Male,0,Toys,Baby Rattle
Male,0,Toys,Soft Toy
Male,0,Toys,Teddy Bear
Male,0,Toys,Musical Toy
Male,0,Toys,Activity Gym
Male,0,Toys,Crib Mobile
Male,0,Toys,Stacking Rings
Male,0,Toys,Plush Puppy
Male,0,Toys,Teething Toy
Male,1,Baby Care,Baby Blanket
Male,1,Baby Care,Baby Care Kit
Male,1,Baby Care,Baby Towel
Male,1,Baby Care,Baby Grooming Set
Male,1,Baby Care,Baby Carrier
Male,1,Baby Care,Diaper Bag
Male,1,Baby Care,Nursery Night Light
Male,1,Fashion,Baby Romper
Male,1,Fashion,Baby Bodysuit
Male,1,Fashion,Baby Cap
Male,1,Fashion,Baby Socks
Male,1,Fashion,Baby Mittens
Male,1,Fashion,Baby Booties
Male,1,Fashion,Infant Bibs
Male,1,Fashion,Fleece Onesie
Male,1,Skin Care,Baby Lotion
Male,1,Skin Care,Baby Shampoo
Male,1,Skin Care,Baby Soap
Male,1,Skin Care,Baby Wipes
Male,1,Skin Care,Baby Oil
Male,1,Skin Care,Baby Powder
Male,1,Skin Care,Diaper Rash Cream
Male,1,Skin Care,Gentle Baby Wash
Male,1,Toys,Baby Rattle
Male,1,Toys,Soft Toy
Male,1,Toys,Teddy Bear
Male,1,Toys,Musical Toy
Male,1,Toys,Activity Gym
Male,1,Toys,Crib Mobile
Male,1,Toys,Stacking Rings
Male,1,Toys,Plush Puppy
Male,1,Toys,Teething Toy
Male,2,Baby Care,Baby Blanket
Male,2,Baby Care,Baby Care Kit
Male,2,Baby Care,Baby Towel
Male,2,Baby Care,Baby Grooming Set
Male,2,Baby Care,Baby Carrier
Male,2,Baby Care,Diaper Bag
Male,2,Baby Care,Nursery Night Light
Male,2,Fashion,Baby Romper
Male,2,Fashion,Baby Bodysuit
Male,2,Fashion,Baby Cap
Male,2,Fashion,Baby Socks
Male,2,Fashion,Baby Mittens
Male,2,Fashion,Baby Booties
Male,2,Fashion,Infant Bibs
Male,2,Fashion,Fleece Onesie
Male,2,Skin Care,Baby Lotion
Male,2,Skin Care,Baby Shampoo
Male,2,Skin Care,Baby Soap
Male,2,Skin Care,Baby Wipes
Male,2,Skin Care,Baby Oil
Male,2,Skin Care,Baby Powder
Male,2,Skin Care,Diaper Rash Cream
Male,2,Skin Care,Gentle Baby Wash
Male,2,Toys,Baby Rattle
Male,2,Toys,Soft Toy
Male,2,Toys,Teddy Bear
Male,2,Toys,Musical Toy
Male,2,Toys,Activity Gym
Male,2,Toys,Crib Mobile
Male,2,Toys,Stacking Rings
Male,2,Toys,Plush Puppy
Male,2,Toys,Teething Toy
Male,3,Art,Coloring Book
